Hotel_name,Review_Title,Review_Text,Sentiment,Rating_Percentage,,,,
The Residency Chennai,,Ac is not good..bed is not that much good.. it's not worth paying. .,1,20,,,,
The Residency Chennai,,Awesome stay the food was slightly expensive but other than that I dont think this deserves 3.9. The only thing is the room size is small compared to other luxury hotels,3,100,,,,
The Residency Chennai,,Stay was comfortable and service is good & satisfactory,3,80,,,,
The Residency Chennai,The Residency Good Centrally located Hotel,The overall experience was good. However the wi-fi was getting disconnected often. We found the food very expensive.,3,80,,,,
The Residency Chennai,,"Overall stay was good. However, the Wi-Fi was not working. We had to call them multiple times to fix it. It gets fixed for some time and then again they would stop working. This was the only thing that we didn't like about this hotel.",3,80,,,,
The Residency Chennai,Good stay for US consulate visit,Great breakfast and good room service!,3,100,,,,
The Residency Chennai,stay was very good..staff was very courteous,"all in all good..location is excellent close to everything
staff was very friendly and welcoming and very helpful and very knowledgable about the city and guide you about dos and donts whch is very important if you are visiting for leisure and they tell you where to go and when to go",3,100,,,,
The Residency Chennai,It was a very good hotel,Pacific Clarks Inn,3,71,,,,
The Residency Chennai,I enjoyed my stay in The resedency hotel nice place,I was on business trip in Chennai best place to stay. The Residence hotel is very near to all markets center of Chennai very near to Chennai famous shopping center T nagar area in night there are many restaurants near by.,3,65,,,,
The Residency Chennai,Definitely one of the best hotel to stay,"Excellent stay and one of the good hotel to suggest. Medium in cost and within the budget. Good at service and response. Foods & drinks, transport from the hotel is very much accessible at all the times. Definitely one of the best hotel to stay. Conference rooms and meeting rooms are good for business meetings.",3,86,,,,
The Residency Chennai,Awesome experience and friendly staff,I stayed at this hotel with my friends for 2 days. Overall experience was very good regarding the service of the hotel. The staff were well trained and behaved friendly. The building of the hotel was well decorated. The rooms were big in size and were well maintained and provided with all the modern facilities. The room service was always on time. Food was also very much hygenic and tasty. Would like to visit again.,3,86,,,,
The Residency Chennai,,This is a very clean hotel I have stayed in this hotel before (7 years ago) they still maintain the same very good standard,3,100,,,,
The Residency Chennai,Hotel is Centrally Located in heart of Chennai,"This Hotel is Centrally Located in heart of Chennai. Easily accessible from Most of the places in Chennai. Walking distance to some of the best places in and around T Nagar. Best part was high speed internet is complementary. There was a food festival going on, however, being a vegetarian, I was not able to enjoy the food much.",3,71,,,,
The Residency Chennai,The location is good it is nearer to the city,Hotel is good have good ambiance. The room is spacious. The service is good. The location is good it is nearer to the city. The restaurant is excellent. The buffet was very good. They have huge spread. The service was very good and the room is very good.,3,71,,,,
The Residency Chennai,Good facilities & spacious room,"One of the good residency with all facilities. Food was so good and tasty. Room was so big and television was provided with all good channels, it was very entertaining. Bed was so comfortable and mattress were so good. It is near to bus stop and taxi was available. I stayed here for 2 days and enjoyed a lot.",3,86,,,,
The Residency Chennai,Awesome & luxurious hotel to stay,The ambiance of hotel was very good. It was an awesome hotel and also very awesome service provided by the hotel. The staff were courteous and the room was indeed very nice. Spacious rooms. Outer design and as well as inner design was very good. The entrance gate and front office I like the most. Good behavior of hotel staff. World class facility with luxurious hotel.,3,71,,,,
The Residency Chennai,Excellent Hotel with excellent service,"Modern hotel with great location and great rooms with luxury services. I think all facilities available and great for a single person or group and also for family in this hotel. Food and drinks was too tasty with pure products in used. It was a great stay for me in this hotel. Thank you very much Hotel ""The Residency"" for great facilities to us.",3,71,,,,
The Residency Chennai,Very Good,"Very excellent hotel and well maintained for this hotel and very beautiful location for this hotel iam very happy staying the hotel. Very supportive team and very helpful team, and with in seconds attend house keeping team and am very happy for staying hotel",3,65,,,,
The Residency Chennai,Pleasant visit with good food,I stayed in this hotel for 5 days and have found it to be the most homely hotel I have ever experienced. The staff is very courteous and the rooms are clean and well kept. I need to make a special mention about the restaurants and the care taken by the Food &Beverage staff. Buffet breakfast and lunch/dinner are delightful in terms of quality and variety. I really loved this hotel and will surely make a visit again..,3,71,,,,
The Residency Chennai,awesome!!,"The hotel is centrally located and ideal for business meets. Rooms well made and has convenience. The staff here is excellent very well mannered and know how to attend the guest.The location was good, mid of the city and when the rail transit be ready it will make the life much more easier.his hotel will be in my list for my next trip..",3,65,,,,
ITC Grand Chola,,"Great Business hotel, but not really a place to take the family... The ban on selling alcohol may have an impact.  If you want a beer or a G&T at the end of a long day then you'll need to plan ahead.",3,100,,,,
ITC Grand Chola,It's a fine  experience,Great hotel but sometime felt  too big,3,80,,,,
ITC Grand Chola,Mr Neeraj,On the night of my arrival from NY I had a minor problem in my room. Mr Neeraj was extremely helpful in sorting out the issue immediately along with the engineering staff. His prompt service and extremely courteous manner cannot go unnoticed. Thank you Neeraj! God Bless!,3,100,,,,
ITC Grand Chola,Pride of India,"I stayed there only for one night recently and i would guarantee that this is by far the best hotel i've been.The hospitality,service,rooms staffs and also the food is nothing less than excellent.

I would also single out praise to few staffs name Nidhi,Priyanka,Maya and harish whom were awesome and made me feel home..i would personally rate you 4 100/100",3,100,,,,
ITC Grand Chola,,Really nice room and service. The shower drain had a problem that was fixed promptly when the service team was informed.,3,80,,,,
ITC Grand Chola,Fantastic.,Attention to details! Fantastic!,3,100,,,,
ITC Grand Chola,Responsible luxury,A luxurious stay,3,100,,,,
ITC Grand Chola,Simply exceptional,Excellent hotel courteous staff awesome facility ... highly recommended. Would definitely stay there again,3,100,,,,
ITC Grand Chola,Best Hotel in India !!,The moment you walk into the hotel lobby you will feel like a king. This is one of the biggest hotels In the world with magistic features all across the hotel. A perfect place for a family with kids or for business travellers.,3,100,,,,
